Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
AVG_HS,AVG headshot rate,AVG頭像率,อัตราการถ่ายภาพ AVG,AVG tỉ lệ headshots,Tingkat headshot rata -rata,Taxa de tiro na cabeça do AVG,Tasa de disparo en la cabeza de AVG,AVG -выстрел в голову,Taux de tir AVG,AVG Headshot Rate,AVG Headshot Oran,AVG हेडशॉट दर,Rata de cap de cap,معدل AVG Headshot,avg headshot နှုန်း,اوسط ہیڈ شاٹ کی شرح,এভিজি হেডশট হার
AVG_SUR,AVG survival time,AVG生存時間,เวลารอดชีวิต AVG,AVG thời gian sống sót,Waktu bertahan hidup rata -rata,Tempo de sobrevivência da AVG,Tiempo de supervivencia AVG,AVG Время выживания,Temps de survie AVG,AVG Überlebenszeit,AVG Hayatta Kalma Süresi,AVG उत्तरजीविता समय,Timp de supraviețuire AVG,وقت البقاء على قيد الحياة,avg ရှင်သန်မှုအချိန်,اوسط بقا کا وقت,অ্যাভিজি বেঁচে থাকার সময়
RETURN,RETURN TO LOBBY,返回大廳,กลับไปที่ล็อบบี้,TRỞ LẠI SẢNH,Kembali ke lobi,Retornar ao lobby,Regresar al lobby,Вернуться в лобби,Retour au hall,Kehren Sie zur Lobby zurück,Lobiye Dön,लॉबी पर लौटें,Întoarceți -vă în hol,العودة إلى الضغط,lob ည့်ခန်းကိုပြန်သွားပါ,لابی پر واپس جائیں,লবিতে ফিরে আসুন
REVIVE,REVIVE,復活,การฟื้นฟู,HỒI SINH,MEMBANGKITKAN,REVIVER,REANIMAR,Возродить,RELANCER,BELEBEN,CANLANDIRMAK,पुनर्जीवित,Reînvie,اعادة احياء,ပြန်လည်ဖြစ်ပါှးစေ,زندہ کریں,পুনরায় জীবত করা
BATTLEZONE,BATTLE ZONE,戰區,เขตรบ,KHU GIAO CHIẾN,Zona pertempuran,Zona de batalha,ZONA DE BATALLA,Боевая зона,ZONE DE COMBATS,Kampfzone,Savaş bölgesi,युद्ध -क्षेत्र,Zona de luptă,منطقة المعركة,စစ်တိုက်ဇုန်,جنگ زون,যুদ্ধ অঞ্চল
KILL_LEADER,YOU ARE THE NEW KILL LEADER,你是新的殺人領袖,คุณคือผู้นำการฆ่าคนใหม่,BẠN LÀ VUA HẠ GỤC MỚI,Anda adalah pemimpin pembunuhan baru,Você é o novo líder de matar,Eres el nuevo líder de Kill,Вы новый лидер убийств,Vous êtes le nouveau chef de kill,Du bist der neue Kill -Anführer,Sen yeni öldürme lidisin,आप नए किल लीडर हैं,Ești noul lider de ucidere,أنت زعيم القتل الجديد,သငျသညျသစ်ကို ဦး ဆောင်ခေါင်းဆောင်ဖြစ်ပါတယ်,آپ نئے مار رہنما ہیں,আপনি নতুন কিল লিডার
LOBBY,LOBBY,遊說,ล็อบบี้,SẢNH,LOBI,SALÃO,VESTÍBULO,ЛОББИ,HALL D'ENTRÉE,EMPFANGSHALLE,Lobi,लॉबी,LOBBY,ردهة,လော်ဖီ,لابی,লবি
YOUR_STAT,YOUR STAT,您的統計數據,สถิติของคุณ,THÔNG SỐ CỦA BẠN,Stat Anda,Sua estatística,Tu estadística,Ваш статистика,Votre statistique,Dein Status,Statınız,आपकी स्टेट,Statul tău,الإحصائي الخاص بك,သင့်ရဲ့ stat,آپ کا اسٹیٹ,আপনার স্ট্যাট
INVULNERABLE,INVULNERABLE,無敵,คงกระพัน,BẤT TỬ,KEBAL,INVULNERÁVEL,INVULNERABLE,Неуязвимый,INVULNÉRABLE,UNVERWUNDBAR,Dokunulmaz,अभेद्य,INVULNERABIL,distulnerable,ကြည်နူးဖွယ်မရှိသော,ناقابل برداشت,অদম্য
SHOW_STAT,SHOW STATS ({0}s),顯示統計數據（{0} S）,แสดงสถิติ ({0} s),HIỆN THÔNG SỐ ({0}s),Tampilkan statistik ({0} s),Mostrar estatísticas ({0} s),Mostrar estadísticas ({0} s),Показать статистику ({0} s),Afficher les statistiques ({0} s),Statistiken anzeigen ({0} s),İstatistikleri Göster ({0} s),आँकड़े दिखाएं ({0} s),Afișați statistici ({0} s),إظهار الإحصائيات ({0} s),stats များကိုပြပါ ({0} များ),اعدادوشمار دکھائیں ({0} s),পরিসংখ্যানগুলি দেখান ({0} গুলি)
MELEE,Melee,近戰,ระยะประชิด,Cận chiến,Perkelahian,Corpo a corpo,Pelea confusa,Рукопашным боем,Mêlée,Nahkampf,Yakın dövüş,हाथापाई,Melee,مشاجرة,မေမေ,ہنگامہ,ম্লি
ATTACHMENT,Attachment,依戀,สิ่งที่แนบมา,Phụ kiện,Lampiran,Anexo,Adjunto,Вложение,Pièce jointe,Anhang,EK,लगाव,Atașament,مرفق,ပူးတွဲဖိုင်,منسلکہ,সংযুক্তি
CURRENT_BATTLEZONE,CURRENT BATTLEZONE,當前的戰區,Battlezone ปัจจุบัน,CHIẾN TRƯỜNG HIỆN TẠI,Battlezone saat ini,Zone de batalha atual,Zonera de batalla actual,Текущий битва,Battlezone actuel,Aktuelle Battlezone,Mevcut Battlezone,वर्तमान बैटलज़ोन,Actualul zona de luptă,BattleZone الحالي,လက်ရှိစစ်ထိုး,موجودہ جنگ زون,বর্তমান ব্যাটলজোন
NEXT_BATTLEZONE,NEXT BATTLEZONE,下一個戰區,Battlezone ถัดไป,CHIẾN TRƯỜNG TIẾP THEO,Battlezone berikutnya,Próximo Zone de Batalha,Siguiente zona de batalla,Следующая битва,Next Battlezone,Nächste Battlezone,Sonraki Battlezone,अगला बैटलज़ोन,Următoarea Battlezone,القادم BattleZone,နောက်ခံ,اگلا بٹ زون,নেক্সট ব্যাটলজোন
